Megaplay Games,2014-01-18T16:41:21Z,1
Child Centive,2014-01-18T04:46:16Z,2
Yuga Games,2014-01-18T03:30:19Z,1
Zalman Silber Consulting,2014-01-17T15:43:45Z,1
Winafy,2014-01-16T16:44:56Z,1
Long Sword,2014-01-16T09:03:29Z,2
Gamblus,2014-01-16T04:13:37Z,1
lazysugar,2014-01-16T00:35:28Z,1
YSUpload,2014-01-15T14:42:26Z,2
CQF-DIGITAL,2014-01-15T14:17:48Z,2
Lunar2 Studios Inc.,2014-01-15T10:04:20Z,3
Booster Pack,2014-01-15T09:40:25Z,1
YSFlight Headquarters,2014-01-15T07:54:56Z,3
Bravarian Paw Studios,2014-01-15T00:49:01Z,1
The Zero Games,2014-01-15T00:44:29Z,1
Indie Hero Ltd,2014-01-14T21:52:31Z,1
niarmi,2014-01-14T19:16:27Z,8
Dreamland,2014-01-14T17:16:26Z,1
SuperLikers,2014-01-14T17:02:04Z,1
OnlinePianist,2014-01-14T14:13:01Z,1
East West Games,2014-01-14T11:54:31Z,1
PiixL,2014-01-13T19:39:33Z,2
Crosspring,2014-01-13T18:47:34Z,2
StoryRoll,2014-01-13T16:28:07Z,1
UIdyne,2014-01-13T03:41:34Z,1
"ThoroBid, LLC",2014-01-12T22:10:24Z,4
Game Cloud,2014-01-12T21:48:32Z,11
Tamarin ,2014-01-12T10:44:27Z,1
Rising Step,2014-01-11T13:00:26Z,1
ILT,2014-01-11T02:04:26Z,1
"Red Lozenge, Inc.",2014-01-10T20:31:29Z,6
Obsidian Portal,2014-01-10T19:10:54Z,1
FoodYMoodY,2014-01-10T14:23:43Z,2
E-Multiplex,2014-01-10T12:26:52Z,1
Forkize,2014-01-09T19:44:43Z,5
Yamide,2014-01-09T10:15:39Z,1
ZZWNetwork LLC,2014-01-09T07:00:36Z,2
OrangeOctop.us,2014-01-09T00:29:11Z,1
Betchili,2014-01-08T19:31:37Z,3
Buffalo,2014-01-08T15:45:35Z,2
Double Stallion Games,2014-01-06T19:13:17Z,4
Snaapiq,2014-01-06T16:48:19Z,3
Jukedeck,2014-01-06T16:14:39Z,2
Prime AVG Ltd,2014-01-06T14:46:13Z,1
BryghtAds,2014-01-06T02:01:00Z,1
BaseScape,2014-01-05T19:45:26Z,1
Excamedia,2014-01-05T18:54:50Z,4
Cortechs ,2014-01-05T18:34:16Z,14
Redcarpetup.com,2014-01-05T10:58:11Z,3
Preloaded,2014-01-04T18:00:05Z,1
Tipitap,2014-01-04T15:02:20Z,1
Fitero,2014-01-04T06:18:37Z,2
BankersLab®,2014-01-04T05:15:44Z,1
Team Wivern,2014-01-03T22:17:15Z,1
IFXOPTION.COM,2014-01-03T15:22:06Z,1
GameWith,2014-01-03T11:28:35Z,2
ALLPlayer Group sp. z o.o. sp.k.,2014-01-03T09:24:54Z,2
effect-team.nl,2014-01-03T03:44:00Z,3
Intugine Technologies Pvt Ltd.,2014-01-02T18:51:46Z,13
Mobcrush,2014-01-01T19:05:28Z,2
No company name as of yet.,2014-01-01T15:56:00Z,1
fantisserie,2013-12-31T19:12:04Z,1
WILL,2013-12-31T03:34:38Z,
Merigo,2013-12-30T23:46:16Z,3
Content Games,2013-12-30T17:09:38Z,2
Pixeldome,2013-12-29T14:11:32Z,3
Game Factor Lab,2013-12-29T13:47:12Z,4
Hit Box,2013-12-28T12:05:25Z,2
Hatchlings,2013-12-27T21:20:56Z,6
Marca Franca ,2013-12-26T08:30:10Z,1
Syldi Studio,2013-12-24T15:36:14Z,1
FantasyHub,2013-12-23T23:37:54Z,3
Indefatigable Media House,2013-12-23T20:26:10Z,2
Made Gaming Network,2013-12-23T12:26:19Z,2
Advocado,2013-12-23T10:57:48Z,3
GankerS Entertainment,2013-12-23T04:40:39Z,1
Captain Up,2013-12-22T23:02:25Z,16
FunRock,2013-12-21T11:45:10Z,7
FullBottle Group,2013-12-20T14:42:25Z,14
IGG,2013-12-20T03:20:02Z,1
Draftster.com,2013-12-19T20:32:59Z,5
Linq.us,2013-12-19T15:22:53Z,3
Komar Games,2013-12-19T10:30:49Z,9
Zinthex,2013-12-19T03:38:28Z,2
Gamer's Con Video Game Conventions,2013-12-19T02:07:04Z,1
FanDrafter,2013-12-18T23:41:54Z,2
Storm Bringer Studios,2013-12-18T21:52:59Z,5
Bica Studios,2013-12-18T17:04:03Z,4
The Brain Storm studio,2013-12-18T13:39:04Z,1
InteamSoft,2013-12-18T10:08:09Z,1
Campus Exchange,2013-12-17T22:14:33Z,1
MOBAspark,2013-12-17T15:57:20Z,1
Triangle Factory,2013-12-16T22:24:30Z,3
STUDIO CADET,2013-12-16T11:06:16Z,7
AppOsk ,2013-12-16T07:56:33Z,4
Sulon Technologies Inc.,2013-12-16T00:03:31Z,1
iMo Controller,2013-12-15T07:49:24Z,3
"Globatum, Inc.",2013-12-15T03:18:41Z,1
Imagine this... Productions,2013-12-13T20:33:09Z,9
Vertigo Games,2013-12-13T18:15:02Z,4
Starlize,2013-12-13T14:37:17Z,3
Kloomo,2013-12-13T12:00:58Z,1
Riot Pixels,2013-12-12T19:27:11Z,6
Konotor,2013-12-12T18:01:45Z,5
SALTR,2013-12-12T10:59:39Z,3
AdrenalWin,2013-12-11T23:27:04Z,2
Dynamic Sport Solutions,2013-12-11T20:32:53Z,5
Alfombra Mágica,2013-12-11T15:53:18Z,3
Pepixa,2013-12-11T14:44:45Z,3
CTARe,2013-12-11T05:00:06Z,1
Clone,2013-12-10T23:26:07Z,1
Blind8,2013-12-10T19:09:00Z,5
WAP! Comic Convention,2013-12-10T17:26:21Z,1
Paperwerk,2013-12-10T09:23:57Z,1
KrisMen Rennsport Pvt Ltd,2013-12-10T05:51:04Z,1
