Megaplay Games,2014-01-18,1
Child Centive,2014-01-18,2
Yuga Games,2014-01-18,1
Zalman Silber Consulting,2014-01-17,1
Winafy,2014-01-16,1
Long Sword,2014-01-16,2
Gamblus,2014-01-16,1
lazysugar,2014-01-16,1
YSUpload,2014-01-15,2
CQF-DIGITAL,2014-01-15,2
Lunar2 Studios Inc.,2014-01-15,3
Booster Pack,2014-01-15,1
YSFlight Headquarters,2014-01-15,3
Bravarian Paw Studios,2014-01-15,1
The Zero Games,2014-01-15,1
Indie Hero Ltd,2014-01-14,1
niarmi,2014-01-14,8
Dreamland,2014-01-14,1
SuperLikers,2014-01-14,1
OnlinePianist,2014-01-14,1
East West Games,2014-01-14,1
PiixL,2014-01-13,2
Crosspring,2014-01-13,2
StoryRoll,2014-01-13,1
UIdyne,2014-01-13,1
"ThoroBid, LLC",2014-01-12,4
Game Cloud,2014-01-12,11
Tamarin ,2014-01-12,1
Rising Step,2014-01-11,1
ILT,2014-01-11,1
"Red Lozenge, Inc.",2014-01-10,6
Obsidian Portal,2014-01-10,1
FoodYMoodY,2014-01-10,2
E-Multiplex,2014-01-10,1
Forkize,2014-01-09,5
Yamide,2014-01-09,1
ZZWNetwork LLC,2014-01-09,2
OrangeOctop.us,2014-01-09,1
Betchili,2014-01-08,3
Buffalo,2014-01-08,2
Double Stallion Games,2014-01-06,4
Snaapiq,2014-01-06,3
Jukedeck,2014-01-06,2
Prime AVG Ltd,2014-01-06,1
BryghtAds,2014-01-06,1
BaseScape,2014-01-05,1
Excamedia,2014-01-05,4
Cortechs ,2014-01-05,14
Redcarpetup.com,2014-01-05,3
Preloaded,2014-01-04,1
Tipitap,2014-01-04,1
Fitero,2014-01-04,2
BankersLab®,2014-01-04,1
Team Wivern,2014-01-03,1
IFXOPTION.COM,2014-01-03,1
GameWith,2014-01-03,2
ALLPlayer Group sp. z o.o. sp.k.,2014-01-03,2
effect-team.nl,2014-01-03,3
Intugine Technologies Pvt Ltd.,2014-01-02,13
Mobcrush,2014-01-01,2
No company name as of yet.,2014-01-01,1
fantisserie,2013-12-31,1
Merigo,2013-12-30,3
Content Games,2013-12-30,2
